股票代號,股票名稱,年度,季度,資產總額(百萬元),負債總額(百萬元),權益總額(百萬元),每股參考淨值,單季EPS,單季營收(百萬元),單季毛利率(%),單季營業利益率(%),單季稅後純益率(%),營收年增率(%),每股盈餘年增率(%),ROE(%),ROE年增率(%),毛利率季增率(%),營業利益年增率(%),稅後純益年增率(%),負債佔資產比(%)
2449,京元電子,108,1,47412.36,22317.48,25094.88,20.52,0.31,5260.12,21.35,8.71,7.21,14.829999999999998,6.9,1.53,11.68,-2.87,-4.29,8.94,47.07
2449,京元電子,108,2,51442.59,27346.12,24096.47,19.7,0.49000000000000005,6090.97,24.85,13.15,9.93,20.849999999999998,63.33,2.46,62.91,16.39,2.0,62.38,53.16
2449,京元電子,108,3,53702.61,28513.81,25188.8,20.59,0.8599999999999999,7041.21,30.959999999999997,19.759999999999998,14.860000000000001,27.55,62.260000000000005,4.25,56.830000000000005,24.59,46.28,60.35,53.1
2450,神腦,106,4,10287.13,4364.31,5922.82,23.45,0.75,9147.29,11.540000000000001,1.41,2.07,NA,NA,3.2800000000000002,NA,NA,NA,NA,42.42
2450,神腦,107,1,10729.06,4630.23,6098.83,24.18,0.72,8820.83,10.83,0.8500000000000001,1.9900000000000002,NA,NA,2.92,NA,-6.15,NA,NA,43.16
2450,神腦,107,2,10337.49,4678.46,5659.04,21.85,0.13,7210.76,11.99,-0.5700000000000001,0.45999999999999996,NA,NA,0.5599999999999999,NA,10.71,NA,NA,45.26
2450,神腦,107,3,9849.82,4147.78,5702.04,22.02,0.2300000000000001,7308.78,11.32,-0.01,0.8500000000000001,NA,NA,1.09,NA,-5.59,NA,NA,42.11
2450,神腦,107,4,9727.89,3904.22,5823.67,22.49,0.51,7900.57,11.379999999999999,1.09,1.63,-13.63,-32.0,2.23,-32.01,0.53,-33.23,-31.990000000000002,40.129999999999995
2450,神腦,108,1,10542.76,4669.65,5873.11,22.68,0.25,7777.65,10.12,0.36,0.8199999999999998,-11.83,-65.28,1.09,-62.67,-11.07,-62.660000000000004,-63.67,44.29
2450,神腦,108,2,10147.28,4564.78,5582.5,21.56,0.27,6740.5,11.76,0.64,1.01,-6.52,107.69,1.1900000000000002,112.5,16.21,204.95999999999998,105.25,44.99
2450,神腦,108,3,10831.49,5079.77,5751.72,22.21,0.6599999999999999,7132.97,12.31,1.67,2.4299999999999997,-2.41,186.95999999999998,3.06,180.73,4.68,16398.29,179.01,46.9
2451,創見,106,4,22770.48,2272.19,20498.29,47.59,1.3899999999999997,4817.62,25.619999999999997,18.13,12.370000000000001,NA,NA,2.9499999999999997,NA,NA,NA,NA,9.98
2451,創見,107,1,23482.58,2477.84,21004.74,48.76,1.11,4799.56,22.23,14.46,9.98,NA,NA,2.31,NA,-13.23,NA,NA,10.549999999999999
2451,創見,107,2,23844.72,4705.07,19139.65,44.43,1.68,4411.73,19.64,11.01,16.41,NA,NA,3.61,NA,-11.65,NA,NA,19.73
2451,創見,107,3,21138.85,1558.62,19580.23,45.45,1.1400000000000001,4431.31,19.45,11.89,11.03,NA,NA,2.52,NA,-0.97,NA,NA,7.37
2451,創見,107,4,21864.51,1884.21,19980.3,46.38,0.8999999999999999,3973.37,18.490000000000002,10.91,9.83,-17.52,-35.25,1.97,-33.22,-4.9399999999999995,-50.370000000000005,-34.46,8.62
2451,創見,108,1,22226.78,1848.34,20378.44,47.31,0.85,3679.92,19.09,9.92,9.99,-23.330000000000002,-23.419999999999998,1.82,-21.21,3.2399999999999998,-47.4,-23.25,8.32
2451,創見,108,2,22694.43,4042.19,18652.24,43.3,1.0,3163.91,21.9,11.63,13.58,-28.28,-40.48,2.1999999999999997,-39.06,14.719999999999999,-24.25,-40.65,17.810000000000002
